Shipment number,EAN,SKU,Product,Invoice Id,Invoice amount,Quantity,Amount,Status,Reason,Payment method,Fulfiller Name
17542916892111066378J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17542227815091727024J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,2,1698.0,Cancelled by buyer,MPT_Insufficient Address,COD,RRL HR JHJ Luhari 3P RFC
17543075131821866481J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17543172548031621641J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,764.1,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17543190779031452934J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,850.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17543371429781330388J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Better price available elsewhere,"""Prepaid_Payments,Prepaid_Payments""",RRL HR JHJ Luhari 3P RFC
17543759968061448799J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17543842662281392754J,,Sano_Sunflower_5L,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,0.0,1,799.0,Cancelled by buyer,Better price available elsewhere,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17543750883701286777J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,3,2547.0,Cancelled by buyer,"MPT_Insufficient Address
",COD,RRL HR JHJ Luhari 3P RFC
17543926244701376631J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Better price available elsewhere,COD,RRL HR JHJ Luhari 3P RFC
17543926918981365401J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17544056462211354035J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544063742621617347J,,Groundnut oil 5L,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,0.0,2,2398.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544494873671728042J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,2,1598.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17544529439011928976J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17544481417841240978J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Excess quantity ordered,COD,RRL HR JHJ Luhari 3P RFC
17544580474671441260J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544698471091471341J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544701550691688328J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,2,2398.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544695414651530783J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544918752001210006J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17544874107301392879J,,Extra Light Olive Oil 2 Ltr,Jivo Extra Light Olive Oil 2 Ltr,,0.0,1,1096.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17545498542071975999J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,2,1698.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
