,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
9259,jivo,2025-08-04,Hyderabad,yapral kowkoor,1237254,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9260,jivo,2025-08-04,Hyderabad,hydershakote,1380523,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,2.0,1120.0
9261,jivo,2025-08-04,Central Goa,goa_sou_margao,1390351,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,2.0,550.0
9262,jivo,2025-08-04,Kolkata,esplanade,1400971,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,3.0,675.0
9263,jivo,2025-08-04,Bangalore,rajarajeshwari nagar,1400922,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,3.0,825.0
9264,jivo,2025-08-04,Hyderabad,kothapet & dilsukhnagar,762613,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 L,401502,No,,,2800.0,1.0,2800.0
9265,jivo,2025-08-04,Thiruvananthapuram,thampanoor,1394676,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9266,jivo,2025-08-04,Ludhiana,south city,1401264,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,2.0,2098.0
9267,jivo,2025-08-04,Mumbai,kamothe,1401265,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9268,jivo,2025-08-04,Noida,raj nagar,1394453,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
