city,sku_id,brand_name,sku_name,sku_weight,sku_pack_type,sku_description,top_category_name,mid_category_name,leaf_category_name,soh,soh_value
Noida,40250809,Jivo,Extra Light Olive Oil - Antioxidants Rich Light Cooking Medium For Frying Grilling,2 L,&,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,41.0,43852.6
Pune,40249992,Jivo,Sunflower Oil - Cold Pressed Fortified With Vitamins A & D Chemical Free,5 L,Jar,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,11.0,8901.2
DehraDun,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,17.0,2550.0
Vijayawada-Guntur,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,8.0,9840.0
Mysore,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,3.0,508.32
Pune,40335333,Jivo,Fizzy Water Flavoured With Peach,750 ml,&,Jivo fizzy-water-flavoured-with-peach 750 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",8.0,299.12
Allahabad,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,2.0,1068.66
Mumbai,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,43.0,52680.0
Nagpur,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,12.0,5296.6125
Chennai,40166397,Jivo,Extra Light Olive Oil,5 L,Tin,Jivo extra-light-olive-oil 5 L Tin,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,10.0,26870.0
Raipur,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,3.0,3690.0
Delhi,40335339,Jivo,Indian Tonic Water,200 ml,&,Jivo indian-tonic-water 200 ml,Beverages,Energy & Soft Drinks,Soda & Cocktail Mix,6.0,277.4
Vijayawada-Guntur,40304418,Jivo,Cold Pressed Soyabean Oil,1 L,Bottle,Jivo cold-pressed-soyabean-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,7.0,1117.0
Nagpur,40304418,Jivo,Cold Pressed Soyabean Oil,1 L,Bottle,Jivo cold-pressed-soyabean-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,10.0,1595.0
Noida,40250808,Jivo,Extra Virgin Olive Oil - Antioxidants Rich Suitable For Salads Saute,1 L,&,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,44.0,35463.69
Delhi,40335337,Jivo,Mojito Healthy Wheatgrass Juice,200 ml,&,Jivo mojito-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,21.0,715.05
Nashik,40335330,Jivo,Ginger Ale Healthy Wheatgrass Juice - Sugar Free,200 ml,&,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",1.0,34.0
DehraDun,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,5.0,2671.65
Delhi,40335340,Jivo,Mango Healthy Wheatgrass Juice,500 ml,&,Jivo mango-healthy-wheatgrass-juice 500 ml,Beverages,Fruit Juices & Drinks,Juices,2.0,145.06
Chandigarh Tricity,40166395,Jivo,Cold Press Kachi Ghani Mustard Oil,1 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,22.0,3713.7575
Agra,40166395,Jivo,Cold Press Kachi Ghani Mustard Oil,1 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,2.0,344.0
Chandigarh Tricity,40309979,Jivo,Canola Omega-3 Rich Cooking Oil 1 L,1 L,Pouch,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,2.0,382.75
Gurgaon,40335333,Jivo,Fizzy Water Flavoured With Peach,750 ml,&,Jivo fizzy-water-flavoured-with-peach 750 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",1.0,37.38
Bangalore,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,130.0,19809.26
Pune,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,309.0,54013.2
Pune,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,50.0,60345.0
Chandigarh Tricity,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,17.0,3909.8624
Gurgaon,40250808,Jivo,Extra Virgin Olive Oil - Antioxidants Rich Suitable For Salads Saute,1 L,&,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,55.0,44344.05
Agra,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,3.0,3374.99
Delhi,40304419,Jivo,Cold-Pressed Soyabean Oil,5 L,Can,Jivo cold-pressed-soyabean-oil 5 L Can,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,17.0,12267.5001
Gurgaon,40309979,Jivo,Canola Omega-3 Rich Cooking Oil 1 L,1 L,Pouch,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,89.0,17031.8516
Coimbatore,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,1.0,570.0
Raipur,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,6.0,1506.0
