StorageType,FacilityName,City,SkuCode,SkuDescription,L1,L2,ShelfLifeDays,BusinessCategory,DaysOnHand,PotentialGmvLoss,OpenPos,OpenPoQuantity,WarehouseQtyAvailable
Ambient,AHM DELHIVERY,AHMEDABAD,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,0,8874.25,"[CADPO133583"",""CADPO134906"",""CADPO134369"",""CADPO135580]",102,2
Ambient,PUNE IM2 TEMP,PUNE,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,200,2502.5,[CHCPO209307],8,44
Ambient,BLR IM1,BANGALORE,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,100548,"[MBIPO220772"",""MBIPO226421"",""MBIPO225951"",""MBIPO222661]",104,0
Ambient,BLR IM1,BANGALORE,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,16878.75,"[MBIPO226421"",""MBIPO223753"",""MBIPO225691"",""MBIPO228099"",""MBIPO222661]",140,1
Ambient,PUN DELHIVERY,PUNE,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,17,9817.5,[],0,15
Ambient,DLHY GGNFC5,GURGAON,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,45606.75,[],0,6
Ambient,MUM IM3,MUMBAI,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,365,0,[],0,0
Ambient,MUM IM1,MUMBAI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,67229,EXTRA VIRGIN OLIVE OIL 1.00 LTR,Edible Oils and Ghee,Olive Oil,720,Cooking Essentials,21,20904.38,[],0,36
Ambient,BLR ECOM2,BANGALORE,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,19,119544.04,"[MBLPO256004"",""MBLPO251133"",""MBLPO254071]",112,317
Ambient,KOL IM2,KOLKATA,95788,Jivo Extra Light Edible Olive Oil Ideal for Everyday Indian Cooking 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC5,GURGAON,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,9,348892.25,"[FC5PO215588"",""FC5PO216567]",128,316
Ambient,CBE ECOM,COIMBATORE,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5598.88,[],0,0
Ambient,HYD IM1,HYDERABAD,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,11,5544,"[CHMPO174140"",""CHMPO175429]",60,41
Ambient,CBE ECOM,COIMBATORE,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,22455.02,"[JCEPO118409"",""JCEPO117001"",""JCEPO119590]",64,0
Ambient,MUM FC22,MUMBAI,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,59,15396.92,[],0,26
Ambient,MUM FC22,MUMBAI,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,7,45834.25,"[CMFPO201401"",""CMFPO201856"",""CMFPO199668]",437,182
Ambient,HYD IM1,HYDERABAD,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,8,79576,"[CHMPO175429"",""CHMPO178367"",""CHMPO179458"",""CHMPO176144"",""CHMPO174140]",76,34
Ambient,HYD IM2,HYDERABAD,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,0,6814.5,[],0,0
Ambient,DLHY GGNFC9,DELHI,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,4,98736.75,[],0,280
Ambient,AHM DELHIVERY,AHMEDABAD,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,11,5197.5,[],0,5
Ambient,BLR IM1,BANGALORE,67229,EXTRA VIRGIN OLIVE OIL 1.00 LTR,Edible Oils and Ghee,Olive Oil,720,Cooking Essentials,0,14230.09,[],0,0
Ambient,MUM FC22,MUMBAI,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,11,266417.28,[CMFPO201401],176,282
Ambient,CHD ECOM,CHANDIGARH,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,11664.45,[],0,2
Ambient,MUM IM1,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC9,DELHI,240878,Jivo Extra Virgin Olive Oil 250.0 ml,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,129,2362.5,[],0,97
Ambient,CBE ECOM,COIMBATORE,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,3462.9,"[JCEPO119590"",""JCEPO119305]",120,0
Ambient,GOA IM1,CENTRAL GOA,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,42,514.5,"[GCAPO03235"",""GCAPO02864]",24,3
Ambient,CHN ECOM,CHENNAI,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,11227.65,"[JCNPO172860"",""JCNPO174857"",""JCNPO173907]",120,0
Ambient,CHD ECOM,CHANDIGARH,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,11664.45,[],0,2
Ambient,MUM IM1,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,PUN DELHIVERY,PUNE,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,14,66630.55,"[CPDPO169126"",""CPDPO168089]",80,90
Ambient,DLHY GGNFC9,DELHI,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,1066.45,[],0,0
Ambient,GOA IM1,CENTRAL GOA,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,16,13749.75,"[GCAPO03848"",""GCAPO04978]",40,146
Ambient,MUM IM1,MUMBAI,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,KOLKATA ECOM,KOLKATA,904426,JIVO COLD PRESSED MUSTARD OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,1312.5,[],0,0
